Data;Fix;Top;Premium M.;Premium F.;Multiprev M.;Multiprev F.;Previdence;XP Prev;Access;Synta;Capit D. Inc;Capit D. Inc F.;Aquila6;Strategy;CW1;Inflation;Index;Alfa;Harpia;Emb;Portfolio;Multi;Volks Fusca;Fcopel;São Paulo;Reit ;Reit 90
05/04/2019;221%;215%;190%;170%;253%;244%;233%;#N/D;300%;135%;353%;290%;20%;-394%;-691%;67%;62%;210%;208%;215%;6%;-4%;73%;-223%;-660%;-1779%;-1159%
08/04/2019;29%;23%;-17%;-11%;60%;52%;47%;#N/D;-10%;-39%;80%;72%;-52%;-105%;-339%;94%;88%;-29%;-29%;213%;11%;1%;88%;-224%;-213%;-754%;500%
09/04/2019;58%;52%;40%;38%;90%;81%;92%;#N/D;21%;-11%;-35%;-19%;236%;239%;109%;70%;64%;-172%;-172%;218%;6%;-4%;68%;70%;311%;1151%;-490%
10/04/2019;148%;142%;164%;148%;98%;89%;84%;#N/D;157%;176%;253%;209%;201%;66%;870%;113%;107%;315%;310%;661%;12%;2%;70%;387%;825%;422%;491%
11/04/2019;77%;71%;92%;84%;58%;50%;59%;#N/D;43%;111%;-1%;8%;-137%;11%;-102%;133%;127%;12%;21%;246%;4%;-7%;65%;-344%;-47%;-1098%;-867%
12/04/2019;193%;187%;230%;206%;198%;189%;181%;#N/D;274%;249%;368%;302%;222%;65%;-256%;71%;65%;77%;67%;311%;7%;-3%;73%;59%;-154%;25%;-134%
15/04/2019;-54%;-60%;-175%;-159%;83%;74%;67%;#N/D;-46%;-136%;76%;69%;7%;-606%;306%;-522%;-520%;-85%;-101%;300%;-1042%;-1065%;58%;33%;5%;721%;709%
16/04/2019;61%;55%;36%;27%;126%;117%;119%;#N/D;61%;-16%;173%;146%;122%;30%;479%;71%;66%;98%;103%;225%;7%;-3%;63%;10%;353%;-392%;-1245%
17/04/2019;100%;94%;77%;68%;139%;131%;120%;#N/D;129%;42%;169%;144%;250%;28%;398%;126%;119%;70%;80%;225%;7%;-3%;59%;194%;274%;651%;544%
18/04/2019;145%;139%;194%;184%;96%;88%;86%;#N/D;126%;201%;25%;29%;63%;122%;525%;71%;65%;529%;587%;225%;7%;-3%;66%;318%;195%;57%;356%
22/04/2019;328%;322%;529%;479%;184%;176%;164%;#N/D;323%;327%;1075%;865%;234%;19%;2%;155%;148%;400%;388%;224%;68%;58%;50%;353%;-32%;480%;149%
23/04/2019;100%;94%;136%;123%;54%;45%;46%;#N/D;19%;114%;-171%;-128%;76%;150%;418%;71%;66%;467%;459%;227%;7%;-3%;55%;487%;94%;187%;150%
24/04/2019;758%;752%;507%;443%;258%;248%;229%;#N/D;615%;239%;574%;466%;845%;-142%;228%;71%;65%;665%;699%;227%;7%;-3%;72%;-232%;-200%;-937%;-1298%
25/04/2019;19%;13%;-17%;-9%;98%;89%;77%;#N/D;24%;-112%;-52%;-25%;168%;139%;241%;69%;63%;336%;464%;227%;7%;-3%;73%;266%;152%;276%;455%
